PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19
Q1 -0.147121734793694 0.832177023901776 0.49242739158658 -0.0438245913889933 -0.0858860889945842 -0.0803573112712152 0.0518349345068521 0.115722189737693 0.0838327815288437 0.0287244844797872 -0.0445476123090679 -0.0153087461458405 0.0253590053390156 -0.0102668092955841 0.01306507887032 0.0011324871841839 0.0217442394369969 -0.00732901364314561 0.000437480731142024
Q2 -0.674518021533512 -0.476447403779458 -0.358078640790133 -0.408905963477685 -0.0573951133901238 0.0234770953996108 0.0183092964340492 -0.0504997240829209 0.0151701218248646 0.0308499668261357 -0.0966179023036446 0.0191070454182991 -0.0443795025389422 0.0485190031750571 0.0216840551264008 0.0131393501287549 0.00276612090782672 -0.00345849413377411 -0.000214507489300815
Q3 -0.874123847910302 0.321562438620117 -0.297351414442104 -0.0813702525200823 -0.0803240387258092 0.0652701886853054 0.00350263968596247 0.0909917522854186 0.0438898046664203 0.0348101051839136 -0.0816325968419357 0.00445559711583638 0.0854456147743002 -0.00792844189321636 -0.0291030195346651 -0.00838436020790264 -0.0189421849970615 0.000517665332712801 -0.000486069847698007
Q4 -0.347969330506846 0.716124072770043 0.476315897764662 -0.0131579293492506 -0.0996184789047479 -0.140803072838764 -0.246806224124528 -0.180896488844471 -0.0558452220302717 0.10680679892162 0.00870853702804456 -0.00661747485177989 0.0186294505466919 0.0207768159794981 0.0131496230287483 -0.00631222955520921 -0.00164419887889681 0.00269301522430159 -0.000193613134103839
Q5 -0.682506813997412 -0.485882289450127 -0.298656371578816 -0.223903633018432 -0.250530807602704 -0.251744475638603 0.00862673909155274 -0.146597284067246 0.0498051332521668 -0.0544930456095419 -0.0339890901222377 -0.0520622581179197 0.00739085263525376 -0.0402706382267077 -0.000322821976781982 -0.00536923906447235 0.00635211380374077 0.00258360692019117 0.000383377365728617
Q6 -0.847314687376641 0.0912129061934117 -0.330281975324216 0.217819304310928 -0.302976132524623 0.0752634877646431 -0.0763562334307616 -0.0490871193136884 -0.00641658266220463 0.0481531386248057 0.072069699236252 0.0310086219292958 -0.0324673218830183 -0.0384359422619721 -0.00181124931309049 0.0174957537689913 -0.0104531127112204 -0.00648609719266654 -5.86537751770026e-05
Q7 0.0168116467092995 0.898623397102611 0.293355344541211 -0.173498771227131 -0.125034232486707 -0.139363662363575 0.150530338506952 0.0355832317933759 0.082828770175839 -0.0623491425858134 0.016877492639124 -0.0232197969493368 -0.0700701547167288 0.00250269240829356 0.00698689178056625 -0.00096637292452464 -0.0226598316728788 0.00109588070017398 -0.000546864543935591
Q8 -0.540980129704996 0.228746115761323 0.383246080167314 -0.576809124810305 0.0208328733306382 0.39470741234016 0.043184727666027 -0.105434408020871 -0.0370959767179941 -0.0406472002390786 0.0430134285074766 -0.0324412343922417 0.0117809192673016 -0.00999032966281705 -0.00344369534414183 -0.00495764591437589 0.00369310697759834 -0.000731264948160583 3.70687752187788e-05
Q9 0.239410755347374 0.75047833648306 -0.523409827655184 -0.0422047530287324 0.0481758477547931 -0.155761891929925 0.142636268258225 -0.0772455995172892 -0.213679325932277 -0.0643892498804522 0.00325437662398002 0.00188114592947859 0.0287619342883304 0.0105319364111595 -0.00668720415833044 -0.00154204874702597 0.00258385614142384 -0.0044821369383674 -9.13386742404339e-05
Q10 -0.529315171746547 0.713551351332479 -0.338843845841608 -0.252654640170178 -0.107750439192375 -0.00870358375720062 0.0815783069200835 0.0525289484671927 0.0180814982209915 0.0185832708816327 0.0341727619838747 0.0925531653466804 -0.0139034287848114 0.00196013878520253 -0.00722442066875331 0.00110777093783107 0.0146917795858907 0.00688717328321961 0.000431000337906023
