Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13 Q14 Q15 Q16 Q17 Q18 Q19
Q1 1 -0.452582383070692 0.275396862909315 0.866874824815845 -0.410322265192272 0.0352606913288047 0.933801222826029 0.435216439717194 0.320934526363653 0.535066101669986 0.394416847799208 -0.143652011322557 0.277641188006874 0.0181740665414464 0.384482352807453 -0.0978815429770232 -0.0198077597380848 0.0175486329239479 0.173698773003712
Q2 -0.452582383070692 1 0.582504280387331 -0.262784073874013 0.905401337601901 0.572284947246017 -0.468160198212238 0.361002710557696 -0.320694588774905 0.246429692443303 0.2980589080587 0.64554546341128 -0.16258550461738 0.577923321737676 0.261394392017731 0.501849187439132 0.626876636787262 0.648501050553621 0.488037588030243
Q3 0.275396862909315 0.582504280387331 1 0.377027780072965 0.541480006182055 0.868269940617354 0.200079617429037 0.48852133806227 0.161209846055785 0.824390647725158 0.639214476969773 0.374618563554937 0.38078084780975 0.808598762720228 0.611020811614152 0.17600754818566 0.760817909085387 0.739634142535488 0.902741849242367
Q4 0.866874824815845 -0.262784073874013 0.377027780072965 1 -0.174201542632025 0.251670140881846 0.756079104368193 0.491263372438921 0.20700918477043 0.519761746818334 0.588005424824747 0.0650826514983042 0.250127124322056 0.206024828665494 0.546081039014856 0.00128091647075253 0.160182174387602 0.174104272239788 0.30270237732121
Q5 -0.410322265192272 0.905401337601901 0.541480006182055 -0.174201542632025 1 0.641468408663412 -0.426972483542148 0.185147066037517 -0.330115411245327 0.188350287327884 0.359115598124328 0.690705576205327 -0.258399712831392 0.628162241039061 0.306324100025691 0.494063711459946 0.664319563110337 0.512813347585014 0.529602061835919
Q6 0.0352606913288047 0.572284947246017 0.868269940617354 0.251670140881846 0.641468408663412 1 -0.0534657012631146 0.252560689035176 -0.00692984401923168 0.599967661821122 0.612859502789627 0.408473196090998 0.197140926047136 0.887567499010038 0.622254390645287 0.148823411671709 0.8431266094619 0.520766692380955 0.926712503079845
Q7 0.933801222826029 -0.468160198212238 0.200079617429037 0.756079104368193 -0.426972483542148 -0.0534657012631146 1 0.354087698370684 0.550835464306528 0.604952187746892 0.149507194273136 -0.334642615370282 0.348063139104223 -0.155460802263654 0.129145645134889 -0.287750022323088 -0.203177852659432 -0.0198110701327918 0.0584024107753975
Q8 0.435216439717194 0.361002710557696 0.48852133806227 0.491263372438921 0.185147066037517 0.252560689035176 0.354087698370684 1 -0.169370858604466 0.454674961615405 0.528648370174944 0.405306594359794 -0.0138184927499898 0.308775134487219 0.509004210478727 0.419663305929459 0.322346682920866 0.42052667384318 0.299470375601515
Q9 0.320934526363653 -0.320694588774905 0.161209846055785 0.20700918477043 -0.330115411245327 -0.00692984401923168 0.550835464306528 -0.169370858604466 1 0.595441146913755 -0.340302867474708 -0.691301619915303 0.670128932031631 -0.240252124939556 -0.350972238391418 -0.686637958226395 -0.323936982129842 0.0903811499796327 0.0380847083729659
Q10 0.535066101669986 0.246429692443303 0.824390647725158 0.519761746818334 0.188350287327884 0.599967661821122 0.604952187746892 0.454674961615405 0.595441146913755 1 0.328284565785818 -0.0563808447000912 0.554490632538574 0.413298017668394 0.286850616019618 -0.191649027572586 0.341488327645806 0.591488635577456 0.632132966259294
Q11 0.394416847799208 0.2980589080587 0.639214476969773 0.588005424824747 0.359115598124328 0.612859502789627 0.149507194273136 0.528648370174944 -0.340302867474708 0.328284565785818 1 0.726501649539935 0.101174032269655 0.815233267807654 0.962846626182172 0.585757800647014 0.796543243574064 0.48863151593162 0.720168244597464
Q12 -0.143652011322557 0.64554546341128 0.374618563554937 0.0650826514983042 0.690705576205327 0.408473196090998 -0.334642615370282 0.405306594359794 -0.691301619915303 -0.0563808447000912 0.726501649539935 1 -0.280106973444675 0.67591250157024 0.67608501143331 0.909556008066014 0.744390196244478 0.445031832951623 0.464458941758198
Q13 0.277641188006874 -0.16258550461738 0.38078084780975 0.250127124322056 -0.258399712831392 0.197140926047136 0.348063139104223 -0.0138184927499898 0.670128932031631 0.554490632538574 0.101174032269655 -0.280106973444675 1 0.18207500165537 0.0591373345801173 -0.361470644920396 0.0777971950848867 0.358360694419919 0.360342708486718
Q14 0.0181740665414464 0.577923321737676 0.808598762720228 0.206024828665494 0.628162241039061 0.887567499010038 -0.155460802263654 0.308775134487219 -0.240252124939556 0.413298017668394 0.815233267807654 0.67591250157024 0.18207500165537 1 0.814557972474166 0.464867930983443 0.961580655982485 0.560249730187512 0.935506802684301
Q15 0.384482352807453 0.261394392017731 0.611020811614152 0.546081039014856 0.306324100025691 0.622254390645287 0.129145645134889 0.509004210478727 -0.350972238391418 0.286850616019618 0.962846626182172 0.67608501143331 0.0591373345801173 0.814557972474166 1 0.598982878575694 0.829314572828649 0.357159785138833 0.731493654769505
Q16 -0.0978815429770232 0.501849187439132 0.17600754818566 0.00128091647075253 0.494063711459946 0.148823411671709 -0.287750022323088 0.419663305929459 -0.686637958226395 -0.191649027572586 0.585757800647014 0.909556008066014 -0.361470644920396 0.464867930983443 0.598982878575694 1 0.599162362843057 0.276879633583739 0.265826192751853
Q17 -0.0198077597380848 0.626876636787262 0.760817909085387 0.160182174387602 0.664319563110337 0.8431266094619 -0.203177852659432 0.322346682920866 -0.323936982129842 0.341488327645806 0.796543243574064 0.744390196244478 0.0777971950848867 0.961580655982485 0.829314572828649 0.599162362843057 1 0.538428368995186 0.903508862655545
Q18 0.0175486329239479 0.648501050553621 0.739634142535488 0.174104272239788 0.512813347585014 0.520766692380955 -0.0198110701327918 0.42052667384318 0.0903811499796327 0.591488635577456 0.48863151593162 0.445031832951623 0.358360694419919 0.560249730187512 0.357159785138833 0.276879633583739 0.538428368995186 1 0.57693539095474
Q19 0.173698773003712 0.488037588030243 0.902741849242367 0.30270237732121 0.529602061835919 0.926712503079845 0.0584024107753975 0.299470375601515 0.0380847083729659 0.632132966259294 0.720168244597464 0.464458941758198 0.360342708486718 0.935506802684301 0.731493654769505 0.265826192751853 0.903508862655545 0.57693539095474 1
