PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19
Q1 -0.539524244924842 -0.0793494068370065 -0.477673749882545 0.427016108860488 -0.192311209977083 0.0318659880082865 -0.104198043793719 -0.0591192683926856 0.0199798803902474 -0.308461151079128 -0.0426239162507883 0.0125670570256096 -0.0382969717367997 0.0406129099810934 0.0806154360918323 0.345265386755535 -0.10284821601729 0.0111338300424812 0.0519990651516176
Q2 -0.531674757320858 0.222745493879955 -0.343548240505541 -0.479652544196477 -0.0257961479771949 0.091402287284388 -0.151467597720122 0.0944747276665967 -0.171909239064145 -0.319653453635834 -0.264192695529123 0.000239054686769697 0.0685083632636664 -0.0782746798147973 -0.0326917705195368 -0.20019940485975 0.0139277848369417 0.117985195257731 0.105424831841239
Q3 -0.764845722178011 0.336376512204286 -0.161732735379769 -0.0189486133786221 -0.0904810665907319 0.0427345744364329 0.10704623800109 -0.169890779320256 0.086682814079566 -0.144325202899777 0.00239914431779146 -0.00302451131826877 -0.221901986691803 0.0373823636422355 -0.0334415541279343 -0.0425654213512155 0.291755187895567 -0.11616251781589 -0.210876766767116
Q4 -0.62677028940153 -0.228962603877036 -0.109769818099245 0.246288387065727 -0.328149782356311 -0.277206085713042 -0.218243394443243 0.0136123097951808 0.226228711218018 -0.059893469888862 0.258618715247444 -0.0697950194538754 0.00161414253165017 -0.214757902957654 -0.0333381779257523 -0.250332866984055 -0.110593412457308 -0.00929571623175514 -0.0307617274876147
Q5 -0.517210032105794 0.202962068663924 -0.122641237248079 -0.568326750960205 -0.0158353045817167 -0.183171867071366 -0.40584063926978 0.126833046252619 0.0731383625530999 0.165428818679325 0.0350776068914798 0.0688651459886748 0.100532615818047 0.128059349589244 -0.0404189611175716 0.145983009026804 -0.0927186602509625 -0.189751214467262 -0.0769825114078202
Q6 -0.756825711241792 0.248051386231645 0.0795740384384629 -0.146562012236132 -0.197812352791428 -0.260515347348572 0.046920460009937 0.00435012770020616 0.10709538151044 0.187878133383476 0.155434934811093 0.0134279366057021 -0.0497909135771782 0.127640830706185 0.024491596668137 0.0887420886084246 0.148368258612732 0.296240160786244 0.143278912334982
Q7 -0.499570575942737 0.106203661785566 -0.451545359529613 0.519170645186715 0.125300835882857 0.00978620326760969 0.0577121672057643 0.0374842826390006 -0.0893211821253104 0.176283820961919 -0.0219937064180737 0.305519489108113 0.229885473988801 0.164031835868277 -0.0836721657225898 -0.155844796575734 0.032952414870753 -0.0127311848284966 -0.0040404168756711
Q8 -0.374762018960427 -0.322082993298446 -0.415790758798618 -0.130271905332126 0.47351238954558 -0.123532933504686 0.114442697416762 -0.238016669129653 0.391581969617823 0.152906020673335 -0.236081040605304 -0.116547217810365 0.0151502850502846 -0.079563858224259 0.0528341700878706 0.00386937597327664 -0.00256696704239279 0.0107797431025287 0.0348778068225951
Q9 -0.348356840587419 0.530130730862667 0.168034557318127 0.288877220115962 0.511112933413487 -0.164039611593543 -0.162656574151494 0.169941291656562 -0.0863955410299497 0.0293648335175965 -0.00254877115162494 0.0927915237678766 -0.245021362693765 -0.23274104804603 -0.0441138868486639 0.0469454894522704 -0.0325597821434247 -0.024533410347863 0.0740376872336708
Q10 -0.617881792624338 0.36118263326146 -0.280998643459781 -0.0259671296726288 0.184179914033795 0.169406317059677 0.12804843278428 -0.11228064068916 -0.28744779451433 0.120382189760136 0.256803582265957 -0.315388040326406 0.059669783472208 0.019241004042002 0.162690869179442 -0.034200158056643 -0.137768344805619 0.0183099990225117 -0.0555944059615268
