Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13 Q14 Q15 Q16 Q17 Q18 Q19
Q1 1 0.280765213763446 0.469247005711059 0.513001326088636 0.11255687960448 0.285566155077734 0.548653858098202 0.251120404490892 0.102352397337337 0.344613745885308 0.317183253984836 0.239813204660284 0.0966127257028833 0.23420956697213 0.395392530591248 0.216140584310371 0.247175510828781 0.150024178609753 0.253330716920411
Q2 0.280765213763446 1 0.510413855718652 0.193445905522696 0.554509614102157 0.375820401286063 0.188098425442014 0.225337977288749 0.123616053890483 0.440189654465761 0.194971443370292 0.271622011044324 0.0447199081338039 0.322854302779368 0.208342720072197 0.23237418149565 0.354749437455278 0.0927392517704064 0.279896454341288
Q3 0.469247005711059 0.510413855718652 1 0.415392248522672 0.394256639129512 0.635634786931029 0.41223634261697 0.246611457594235 0.323443805304385 0.575548159921762 0.329757893249805 0.249245876074831 0.227035669849759 0.56186253971063 0.301237977392893 0.244616813197266 0.523359643306851 0.291437371737461 0.573045164453703
Q4 0.513001326088636 0.193445905522696 0.415392248522672 1 0.260215323137281 0.477820604575008 0.356083605944438 0.212836882236927 0.0776429079475311 0.224214903942241 0.449889613022358 0.375930721976615 0.272603519147151 0.404701550306717 0.465340233577843 0.277499802442093 0.332303393367034 0.22301535650705 0.329418163470939
Q5 0.11255687960448 0.554509614102157 0.394256639129512 0.260215323137281 1 0.535276675602071 0.0851306332740413 0.214884460827539 0.173519267820024 0.338599196888794 0.204303705630129 0.277730082411452 0.122154499007508 0.331796244453285 0.20059210879364 0.213661158527115 0.315658490874527 0.165429553299765 0.25737328004067
Q6 0.285566155077734 0.375820401286063 0.635634786931029 0.477820604575008 0.535276675602071 1 0.286333560424644 0.16353439285948 0.282117462541649 0.468586705901202 0.402080339994316 0.326663114719977 0.336120924493665 0.611411762064165 0.349406299010105 0.198625645494107 0.558589068221421 0.244846450059426 0.558175515102633
Q7 0.548653858098202 0.188098425442014 0.41223634261697 0.356083605944438 0.0851306332740413 0.286333560424644 1 0.275542604138353 0.305962963571043 0.437287321948152 0.242705653830959 0.163212293272449 0.114062859678512 0.193852245999854 0.344338238308297 0.165983245358203 0.250362338065551 0.106442630574725 0.264877266475195
Q8 0.251120404490892 0.225337977288749 0.246611457594235 0.212836882236927 0.214884460827539 0.16353439285948 0.275542604138353 1 0.0310280977929212 0.231537727316504 0.27657810599832 0.341854974753261 0.089586636081786 0.175925534871728 0.162222290360726 0.371799578836007 0.193074572369512 0.0260184376759952 0.0374782802844344
Q9 0.102352397337337 0.123616053890483 0.323443805304385 0.0776429079475311 0.173519267820024 0.282117462541649 0.305962963571043 0.0310280977929212 1 0.348925667521596 0.0555355406139673 -0.0296921810939134 0.400492386109 0.165572557813971 0.104555661734445 0.0142386969616738 0.244717448420017 0.219940133223462 0.283407430315352
Q10 0.344613745885308 0.440189654465761 0.575548159921762 0.224214903942241 0.338599196888794 0.468586705901202 0.437287321948152 0.231537727316504 0.348925667521596 1 0.219005375596401 0.232562839271792 0.136917421481784 0.383740106297611 0.241723653802476 0.252841340955159 0.358578763690859 0.188084368629304 0.429007386007524
